사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2022-03,1호선,0150,서울역,833821,807248,150825,142726,2022-04-03 09:20:00
2022-03,1호선,0151,시청,429786,434811,71119,69058,2022-04-03 09:20:00
2022-03,1호선,0152,종각,653314,632588,109005,101720,2022-04-03 09:20:00
2022-03,1호선,0153,종로3가,366168,332493,246223,230337,2022-04-03 09:20:00
2022-03,1호선,0154,종로5가,325543,328725,224113,216032,2022-04-03 09:20:00
2022-03,1호선,0155,동대문,187477,172602,100814,99054,2022-04-03 09:20:00
2022-03,1호선,0156,신설동,240453,235811,101681,97083,2022-04-03 09:20:00
2022-03,1호선,0157,제기동,197833,192192,232534,248159,2022-04-03 09:20:00
2022-03,1호선,0158,청량리(서울시립대입구),284490,281683,225655,226970,2022-04-03 09:20:00
2022-03,1호선,0159,동묘앞,106636,116596,130243,132053,2022-04-03 09:20:00
2022-03,2호선,0201,시청,453815,434562,46521,41089,2022-04-03 09:20:00
2022-03,2호선,0202,을지로입구,779131,803763,76807,71809,2022-04-03 09:20:00
2022-03,2호선,0203,을지로3가,426990,424467,60184,59809,2022-04-03 09:20:00
2022-03,2호선,0204,을지로4가,224123,225394,70454,69115,2022-04-03 09:20:00
2022-03,2호선,0205,동대문역사문화공원(DDP),259231,296306,46174,49772,2022-04-03 09:20:00
2022-03,2호선,0206,신당,266007,276043,79599,81021,2022-04-03 09:20:00
2022-03,2호선,0207,상왕십리,288750,280207,55258,56239,2022-04-03 09:20:00
2022-03,2호선,0208,왕십리(성동구청),379326,308118,43158,36581,2022-04-03 09:20:00
2022-03,2호선,0209,한양대,316831,351060,11240,11739,2022-04-03 09:20:00
2022-03,2호선,0210,뚝섬,464213,498128,48737,49005,2022-04-03 09:20:00
2022-03,2호선,0211,성수,772499,850668,88991,91039,2022-04-03 09:20:00
2022-03,2호선,0212,건대입구,858092,902946,75169,78441,2022-04-03 09:20:00
2022-03,2호선,0213,구의(광진구청),491418,482756,86244,88358,2022-04-03 09:20:00
2022-03,2호선,0214,강변(동서울터미널),644933,612418,87035,84356,2022-04-03 09:20:00
2022-03,2호선,0215,잠실나루,261761,252595,65301,65517,2022-04-03 09:20:00
2022-03,2호선,0216,잠실(송파구청),1495823,1473370,141246,134004,2022-04-03 09:20:00
2022-03,2호선,0217,잠실새내,429193,431199,82744,83372,2022-04-03 09:20:00
2022-03,2호선,0218,종합운동장,196052,211974,33281,33897,2022-04-03 09:20:00
2022-03,2호선,0219,삼성(무역센터),1054591,1070571,92991,85475,2022-04-03 09:20:00
2022-03,2호선,0220,선릉,1053811,938365,179951,160006,2022-04-03 09:20:00
2022-03,2호선,0221,역삼,980584,1109153,123484,125019,2022-04-03 09:20:00
2022-03,2호선,0222,강남,1810420,1793185,143683,128551,2022-04-03 09:20:00
2022-03,2호선,0223,교대(법원.검찰청),650394,732277,116924,129957,2022-04-03 09:20:00
2022-03,2호선,0224,서초,434455,412227,60802,59795,2022-04-03 09:20:00
2022-03,2호선,0225,방배,381618,400783,58289,57585,2022-04-03 09:20:00
2022-03,2호선,0226,사당,748353,841396,141251,137024,2022-04-03 09:20:00
2022-03,2호선,0227,낙성대(강감찬),600024,582461,85686,86988,2022-04-03 09:20:00
2022-03,2호선,0228,서울대입구(관악구청),1058413,1044074,151735,145315,2022-04-03 09:20:00
2022-03,2호선,0229,봉천,467693,428526,116557,117441,2022-04-03 09:20:00
2022-03,2호선,0230,신림,1411514,1361228,185934,189205,2022-04-03 09:20:00
2022-03,2호선,0231,신대방,555212,538249,103634,105161,2022-04-03 09:20:00
2022-03,2호선,0232,구로디지털단지,1235678,1230977,140298,141252,2022-04-03 09:20:00
2022-03,2호선,0233,대림(구로구청),493766,507181,97529,101912,2022-04-03 09:20:00
2022-03,2호선,0234,신도림,998400,1015456,156196,148683,2022-04-03 09:20:00
2022-03,2호선,0235,문래,431505,444625,70653,70016,2022-04-03 09:20:00
2022-03,2호선,0236,영등포구청,445026,461234,83831,82605,2022-04-03 09:20:00
2022-03,2호선,0237,당산,396301,456085,48301,52534,2022-04-03 09:20:00
2022-03,2호선,0238,합정,718072,755577,55834,55338,2022-04-03 09:20:00
2022-03,2호선,0239,홍대입구,1367435,1419821,77988,74947,2022-04-03 09:20:00
2022-03,2호선,0240,신촌,750227,750316,99791,96568,2022-04-03 09:20:00
2022-03,2호선,0241,이대,306997,326780,37654,39868,2022-04-03 09:20:00
2022-03,2호선,0242,아현,203069,194753,53489,52393,2022-04-03 09:20:00
2022-03,2호선,0243,충정로(경기대입구),189566,203885,40075,40418,2022-04-03 09:20:00
2022-03,2호선,0244,용답,66497,70865,16491,16275,2022-04-03 09:20:00
2022-03,2호선,0245,신답,31381,35788,8298,9000,2022-04-03 09:20:00
2022-03,2호선,0246,신설동,63491,63414,27266,29868,2022-04-03 09:20:00
2022-03,2호선,0247,도림천,27198,27945,6476,7054,2022-04-03 09:20:00
2022-03,2호선,0248,양천구청,125169,131073,38014,38548,2022-04-03 09:20:00
2022-03,2호선,0249,신정네거리,189924,196798,57731,59143,2022-04-03 09:20:00
2022-03,2호선,0250,용두(동대문구청),38471,38680,20627,21627,2022-04-03 09:20:00
2022-03,3호선,0309,지축,93844,88359,21497,20742,2022-04-03 09:20:00
2022-03,3호선,0310,구파발,406612,395412,95746,91787,2022-04-03 09:20:00
2022-03,3호선,0311,연신내,698681,658928,218497,212214,2022-04-03 09:20:00
2022-03,3호선,0312,불광,287084,310089,115949,126884,2022-04-03 09:20:00
2022-03,3호선,0313,녹번,312707,277423,63906,63349,2022-04-03 09:20:00
2022-03,3호선,0314,홍제,318311,301922,115240,113016,2022-04-03 09:20:00
2022-03,3호선,0315,무악재,69855,70520,23253,25552,2022-04-03 09:20:00
2022-03,3호선,0316,독립문,119581,129446,56005,55828,2022-04-03 09:20:00
2022-03,3호선,0317,경복궁(정부서울청사),437238,433878,65178,62142,2022-04-03 09:20:00
2022-03,3호선,0318,안국,420579,438969,61034,63448,2022-04-03 09:20:00
2022-03,3호선,0319,종로3가,187206,220923,48098,53105,2022-04-03 09:20:00
2022-03,3호선,0320,을지로3가,189475,194848,41076,38713,2022-04-03 09:20:00
2022-03,3호선,0321,충무로,31,0,2,0,2022-04-03 09:20:00
2022-03,3호선,0322,동대입구,186343,201599,26777,29493,2022-04-03 09:20:00
2022-03,3호선,0323,약수,247558,243042,66181,63030,2022-04-03 09:20:00
2022-03,3호선,0324,금호,147209,137663,44291,44023,2022-04-03 09:20:00
2022-03,3호선,0325,옥수,165846,175587,46772,47016,2022-04-03 09:20:00
2022-03,3호선,0326,압구정,646541,694951,103672,101484,2022-04-03 09:20:00
2022-03,3호선,0327,신사,687054,716760,61884,59429,2022-04-03 09:20:00
2022-03,3호선,0328,잠원,89479,88095,24778,23938,2022-04-03 09:20:00
2022-03,3호선,0329,고속터미널,898662,875195,134518,128315,2022-04-03 09:20:00
2022-03,3호선,0330,교대(법원.검찰청),270208,175943,51483,32208,2022-04-03 09:20:00
2022-03,3호선,0331,남부터미널(예술의전당),588090,599545,93402,94122,2022-04-03 09:20:00
2022-03,3호선,0332,양재(서초구청),752970,825003,119672,121102,2022-04-03 09:20:00
2022-03,3호선,0333,매봉,228372,220419,48904,45051,2022-04-03 09:20:00
2022-03,3호선,0334,도곡,103576,109112,19835,18283,2022-04-03 09:20:00
2022-03,3호선,0335,대치,223374,222093,50648,48465,2022-04-03 09:20:00
2022-03,3호선,0336,학여울,47725,51902,13407,12759,2022-04-03 09:20:00
2022-03,3호선,0337,대청,191449,175261,47387,45616,2022-04-03 09:20:00
2022-03,3호선,0338,일원,184937,177734,50481,50392,2022-04-03 09:20:00
2022-03,3호선,0339,수서,329581,335636,83451,83981,2022-04-03 09:20:00
2022-03,3호선,0340,가락시장,151083,148242,60712,59279,2022-04-03 09:20:00
2022-03,3호선,0341,경찰병원,136144,134990,32469,33601,2022-04-03 09:20:00
2022-03,3호선,0342,오금,121779,111562,23249,22621,2022-04-03 09:20:00
2022-03,4호선,0409,당고개,219710,198795,69902,69763,2022-04-03 09:20:00
2022-03,4호선,0410,상계,376100,346815,99028,96924,2022-04-03 09:20:00
2022-03,4호선,0411,노원,403837,459825,72029,72217,2022-04-03 09:20:00
2022-03,4호선,0412,창동,483370,515481,161384,166248,2022-04-03 09:20:00
2022-03,4호선,0413,쌍문,591594,537665,131458,130068,2022-04-03 09:20:00
2022-03,4호선,0414,수유(강북구청),699524,696213,157926,158764,2022-04-03 09:20:00
2022-03,4호선,0415,미아(서울사이버대학),290674,278482,90178,92940,2022-04-03 09:20:00
2022-03,4호선,0416,미아사거리,536081,518093,148851,148206,2022-04-03 09:20:00
2022-03,4호선,0417,길음,412471,408996,92953,93048,2022-04-03 09:20:00
2022-03,4호선,0418,성신여대입구(돈암),459388,438496,69863,68629,2022-04-03 09:20:00
2022-03,4호선,0419,한성대입구(삼선교),284717,279745,58654,57630,2022-04-03 09:20:00
2022-03,4호선,0420,혜화,705198,704935,104452,103035,2022-04-03 09:20:00
2022-03,4호선,0421,동대문,336011,354576,129892,126933,2022-04-03 09:20:00
2022-03,4호선,0422,동대문역사문화공원(DDP),315766,293176,47244,42606,2022-04-03 09:20:00
2022-03,4호선,0423,충무로,548816,562942,92368,92689,2022-04-03 09:20:00
2022-03,4호선,0424,명동,405490,420146,48687,49702,2022-04-03 09:20:00
2022-03,4호선,0425,회현(남대문시장),415086,447303,143542,144689,2022-04-03 09:20:00
2022-03,4호선,0426,서울역,212981,330184,30217,35010,2022-04-03 09:20:00
2022-03,4호선,0427,숙대입구(갈월),299179,290419,43122,40584,2022-04-03 09:20:00
2022-03,4호선,0428,삼각지,97741,114327,19174,20313,2022-04-03 09:20:00
2022-03,4호선,0429,신용산,329855,347577,40791,41059,2022-04-03 09:20:00
2022-03,4호선,0430,이촌(국립중앙박물관),140221,158152,35576,37125,2022-04-03 09:20:00
2022-03,4호선,0431,동작(현충원),24867,30333,14396,14295,2022-04-03 09:20:00
2022-03,4호선,0432,총신대입구(이수),337660,369685,124240,130459,2022-04-03 09:20:00
2022-03,4호선,0433,사당,542544,452349,68992,67588,2022-04-03 09:20:00
2022-03,4호선,0434,남태령,21894,17751,7209,6676,2022-04-03 09:20:00
2022-03,경부선,1001,서울역,148132,47351,8393,2096,2022-04-03 09:20:00
2022-03,경부선,1002,남영,197291,209880,29495,30458,2022-04-03 09:20:00
2022-03,경부선,1003,용산,739473,742075,94304,92700,2022-04-03 09:20:00
2022-03,경부선,1004,노량진,174660,177311,30861,28762,2022-04-03 09:20:00
2022-03,경부선,1005,대방,252691,262192,56541,55822,2022-04-03 09:20:00
2022-03,경부선,1006,영등포,781730,798453,192665,191097,2022-04-03 09:20:00
2022-03,경부선,1007,신도림,80016,75661,21502,23936,2022-04-03 09:20:00
2022-03,경부선,1032,신길,182926,152581,36887,34546,2022-04-03 09:20:00
2022-03,경부선,1701,구로,370122,386340,80082,76863,2022-04-03 09:20:00
2022-03,경부선,1702,가산디지털단지,375488,440517,29905,33660,2022-04-03 09:20:00
2022-03,경부선,1703,금천구청,223196,221713,65780,67261,2022-04-03 09:20:00
2022-03,경부선,1704,석수,198595,178324,39957,38479,2022-04-03 09:20:00
2022-03,경부선,1705,관악,139655,129366,42852,40944,2022-04-03 09:20:00
2022-03,경부선,1706,안양,513028,502625,92132,95437,2022-04-03 09:20:00
2022-03,경부선,1707,명학,208028,204922,35202,34560,2022-04-03 09:20:00
2022-03,경부선,1708,금정,561417,572046,95806,96808,2022-04-03 09:20:00
2022-03,경부선,1709,군포,158167,157739,29329,28940,2022-04-03 09:20:00
2022-03,경부선,1710,의왕,188531,188431,36342,36117,2022-04-03 09:20:00
2022-03,경부선,1711,성균관대,333785,332594,40877,41150,2022-04-03 09:20:00
2022-03,경부선,1712,화서,162722,156576,33807,33151,2022-04-03 09:20:00
2022-03,경부선,1713,수원,838932,887088,108646,111342,2022-04-03 09:20:00
2022-03,경부선,1714,독산,377345,388849,56725,57799,2022-04-03 09:20:00
2022-03,경부선,1715,세류,63780,58593,12444,12154,2022-04-03 09:20:00
2022-03,경부선,1716,병점,329229,335155,51495,51751,2022-04-03 09:20:00
2022-03,경부선,1717,세마,59617,56209,12223,11362,2022-04-03 09:20:00
2022-03,경부선,1718,오산대,83613,76590,13313,12474,2022-04-03 09:20:00
2022-03,경부선,1719,오산,227587,226670,37072,37953,2022-04-03 09:20:00
2022-03,경부선,1720,진위,35830,30897,6865,6386,2022-04-03 09:20:00
2022-03,경부선,1721,송탄,103733,100466,17346,16761,2022-04-03 09:20:00
2022-03,경부선,1722,서정리,167395,159271,25664,25238,2022-04-03 09:20:00
2022-03,경부선,1723,평택지제,83211,79219,9487,9057,2022-04-03 09:20:00
2022-03,경부선,1724,평택,294808,295637,50612,49843,2022-04-03 09:20:00
2022-03,경부선,1725,성환,109291,106796,15955,15796,2022-04-03 09:20:00
2022-03,경부선,1726,직산,17077,16734,3943,3849,2022-04-03 09:20:00
2022-03,경부선,1727,두정,172080,183909,18259,18348,2022-04-03 09:20:00
2022-03,경부선,1728,천안,140464,132362,38748,39489,2022-04-03 09:20:00
2022-03,경부선,1729,당정,132394,126090,24313,23228,2022-04-03 09:20:00
2022-03,경부선,1749,서동탄,27709,25019,6087,5618,2022-04-03 09:20:00
2022-03,경부선,1750,광명,73960,63058,7932,7457,2022-04-03 09:20:00
2022-03,경인선,1801,개봉,403700,382165,124614,125620,2022-04-03 09:20:00
2022-03,경인선,1802,오류동,225357,206693,75532,74202,2022-04-03 09:20:00
2022-03,경인선,1803,역곡,556881,545352,127742,130831,2022-04-03 09:20:00
2022-03,경인선,1804,부천,655549,656752,171614,173384,2022-04-03 09:20:00
2022-03,경인선,1805,송내,549249,546319,98915,97513,2022-04-03 09:20:00
2022-03,경인선,1806,부평,639952,684235,113604,115397,2022-04-03 09:20:00
2022-03,경인선,1807,백운,125439,123643,46884,47245,2022-04-03 09:20:00
2022-03,경인선,1808,동암,291322,293739,76908,78187,2022-04-03 09:20:00
2022-03,경인선,1809,주안,412981,374322,72561,65172,2022-04-03 09:20:00
2022-03,경인선,1810,제물포,211606,201401,52840,52296,2022-04-03 09:20:00
2022-03,경인선,1811,동인천,254394,241655,96539,93779,2022-04-03 09:20:00
2022-03,경인선,1812,인천,63903,45696,29577,27510,2022-04-03 09:20:00
2022-03,경인선,1813,구일,117308,116054,35682,35357,2022-04-03 09:20:00
2022-03,경인선,1814,소사,170564,164152,53667,52182,2022-04-03 09:20:00
2022-03,경인선,1815,부개,160841,148856,51399,50627,2022-04-03 09:20:00
2022-03,경인선,1816,간석,109626,103790,36295,35147,2022-04-03 09:20:00
2022-03,경인선,1817,도원,50845,48838,24605,26030,2022-04-03 09:20:00
2022-03,경인선,1821,온수(성공회대입구),129142,122010,39790,39025,2022-04-03 09:20:00
2022-03,경인선,1822,중동,174246,162253,57709,56959,2022-04-03 09:20:00
2022-03,경인선,1823,도화,72127,65733,32905,31800,2022-04-03 09:20:00
2022-03,경원선,1008,이촌(국립중앙박물관),67889,51540,21680,18799,2022-04-03 09:20:00
2022-03,경원선,1009,서빙고,35725,34237,12991,12177,2022-04-03 09:20:00
2022-03,경원선,1010,한남,74381,71486,23531,21968,2022-04-03 09:20:00
2022-03,경원선,1011,옥수,1218,788,96,51,2022-04-03 09:20:00
2022-03,경원선,1012,응봉,33053,28508,15110,13894,2022-04-03 09:20:00
2022-03,경원선,1013,왕십리(성동구청),321117,343340,49836,53616,2022-04-03 09:20:00
2022-03,경원선,1014,청량리(서울시립대입구),273181,276466,115197,121080,2022-04-03 09:20:00
2022-03,경원선,1016,외대앞,180890,179329,37159,38493,2022-04-03 09:20:00
2022-03,경원선,1017,신이문,151079,138123,57975,56522,2022-04-03 09:20:00
2022-03,경원선,1018,석계,157099,174937,52049,55485,2022-04-03 09:20:00
2022-03,경원선,1019,광운대,182616,181025,42217,42057,2022-04-03 09:20:00
2022-03,경원선,1020,월계,141987,130808,51329,49526,2022-04-03 09:20:00
2022-03,경원선,1021,녹천,86551,70969,31374,28173,2022-04-03 09:20:00
2022-03,경원선,1022,창동,5,0,0,0,2022-04-03 09:20:00
2022-03,경원선,1901,방학,157678,154508,89873,89326,2022-04-03 09:20:00
2022-03,경원선,1902,도봉,91511,85980,59337,58443,2022-04-03 09:20:00
2022-03,경원선,1903,도봉산,117798,66749,97650,77421,2022-04-03 09:20:00
2022-03,경원선,1904,망월사,134865,137479,58596,60208,2022-04-03 09:20:00
2022-03,경원선,1905,회룡,196138,194977,119099,118553,2022-04-03 09:20:00
2022-03,경원선,1906,의정부,390953,403159,91026,92362,2022-04-03 09:20:00
2022-03,경원선,1907,가능,124381,118928,47639,46964,2022-04-03 09:20:00
2022-03,경원선,1908,녹양,85525,80639,31460,30122,2022-04-03 09:20:00
2022-03,경원선,1909,양주,156115,145753,45256,44274,2022-04-03 09:20:00
2022-03,경원선,1910,덕계,61378,55007,18654,17885,2022-04-03 09:20:00
2022-03,경원선,1911,덕정,128940,123669,28600,28275,2022-04-03 09:20:00
2022-03,경원선,1912,지행,131338,131417,37607,37695,2022-04-03 09:20:00
2022-03,경원선,1913,동두천중앙,51271,48832,29602,29222,2022-04-03 09:20:00
2022-03,경원선,1914,보산,30527,28033,11588,11053,2022-04-03 09:20:00
2022-03,경원선,1915,동두천,44056,46382,20137,24105,2022-04-03 09:20:00
2022-03,경원선,1916,소요산,24775,19387,49966,44759,2022-04-03 09:20:00
2022-03,안산선,1751,산본,313832,342803,79872,80840,2022-04-03 09:20:00
2022-03,안산선,1752,대야미,100649,90532,26481,24948,2022-04-03 09:20:00
2022-03,안산선,1753,반월,85102,81850,24821,24574,2022-04-03 09:20:00
2022-03,안산선,1754,상록수,355024,360137,57388,58733,2022-04-03 09:20:00
2022-03,안산선,1755,한대앞,225441,224261,36337,37288,2022-04-03 09:20:00
2022-03,안산선,1756,중앙,414558,430895,48084,47087,2022-04-03 09:20:00
2022-03,안산선,1757,고잔,190231,180839,28898,27697,2022-04-03 09:20:00
2022-03,안산선,1758,초지,110213,117438,12462,12781,2022-04-03 09:20:00
2022-03,안산선,1759,안산,271477,249821,31584,29019,2022-04-03 09:20:00
2022-03,안산선,1760,신길온천,36359,33510,8373,8169,2022-04-03 09:20:00
2022-03,안산선,1761,정왕,232012,237248,22738,23747,2022-04-03 09:20:00
2022-03,안산선,1762,오이도,185728,184201,28498,28245,2022-04-03 09:20:00
2022-03,안산선,1763,수리산,79529,63120,25701,24595,2022-04-03 09:20:00
2022-03,과천선,1450,선바위,166618,146554,28164,27773,2022-04-03 09:20:00
2022-03,과천선,1451,경마공원,69704,70976,41013,40692,2022-04-03 09:20:00
2022-03,과천선,1452,대공원,43274,45898,34940,35526,2022-04-03 09:20:00
2022-03,과천선,1453,과천,119225,110084,34062,32944,2022-04-03 09:20:00
2022-03,과천선,1454,정부과천청사,203102,202874,41227,41254,2022-04-03 09:20:00
2022-03,과천선,1455,인덕원,492909,508317,87185,89950,2022-04-03 09:20:00
2022-03,과천선,1456,평촌,359502,351138,52078,51928,2022-04-03 09:20:00
2022-03,과천선,1457,범계,561379,557435,83425,81889,2022-04-03 09:20:00
2022-03,분당선,1023,선릉,254666,389993,35152,46294,2022-04-03 09:20:00
2022-03,분당선,1024,한티,308669,325009,53759,54583,2022-04-03 09:20:00
2022-03,분당선,1025,도곡,128429,126740,36158,34420,2022-04-03 09:20:00
2022-03,분당선,1026,구룡,43978,42099,12441,12280,2022-04-03 09:20:00
2022-03,분당선,1027,개포동,73015,75672,19882,20299,2022-04-03 09:20:00
2022-03,분당선,1028,대모산입구,83077,76680,26169,26265,2022-04-03 09:20:00
2022-03,분당선,1030,수서,282424,288357,51711,51127,2022-04-03 09:20:00
2022-03,분당선,1031,복정,13,0,1,0,2022-04-03 09:20:00
2022-03,분당선,1846,수원,190193,155519,25338,22089,2022-04-03 09:20:00
2022-03,분당선,1847,서울숲,227452,232873,23458,22360,2022-04-03 09:20:00
2022-03,분당선,1848,압구정로데오,444358,493232,39479,37562,2022-04-03 09:20:00
2022-03,분당선,1849,강남구청,197511,231151,33635,36319,2022-04-03 09:20:00
2022-03,분당선,1850,선정릉,157591,168689,23132,22522,2022-04-03 09:20:00
2022-03,분당선,1851,가천대,189591,212188,22163,23233,2022-04-03 09:20:00
2022-03,분당선,1852,태평,265673,250478,77131,81388,2022-04-03 09:20:00
2022-03,분당선,1853,모란,387976,387153,147981,160159,2022-04-03 09:20:00
2022-03,분당선,1854,야탑,509675,531634,126088,124503,2022-04-03 09:20:00
2022-03,분당선,1855,서현,508396,518457,96820,93333,2022-04-03 09:20:00
2022-03,분당선,1856,수내,257129,256608,58912,56796,2022-04-03 09:20:00
2022-03,분당선,1857,정자,347753,368618,53493,53771,2022-04-03 09:20:00
2022-03,분당선,1858,미금,292226,310079,86894,91383,2022-04-03 09:20:00
2022-03,분당선,1859,오리,222108,182602,59219,51148,2022-04-03 09:20:00
2022-03,분당선,1860,이매,110390,103607,31246,30994,2022-04-03 09:20:00
2022-03,분당선,1861,보정,45496,39171,15172,14705,2022-04-03 09:20:00
2022-03,분당선,1862,죽전,294499,325872,52917,55972,2022-04-03 09:20:00
2022-03,분당선,1863,구성,91931,97678,28388,29125,2022-04-03 09:20:00
2022-03,분당선,1864,신갈,84598,85341,21611,22053,2022-04-03 09:20:00
2022-03,분당선,1865,기흥,205710,193575,32906,32362,2022-04-03 09:20:00
2022-03,분당선,1866,상갈,105682,103740,24793,24208,2022-04-03 09:20:00
2022-03,분당선,1867,청명,87899,86590,15495,15701,2022-04-03 09:20:00
2022-03,분당선,1868,영통,187489,190165,24439,24317,2022-04-03 09:20:00
2022-03,분당선,1869,망포,317480,303100,29410,28402,2022-04-03 09:20:00
2022-03,분당선,1870,매탄권선,108715,105362,16497,16082,2022-04-03 09:20:00
2022-03,분당선,1871,수원시청,287068,306353,34988,35769,2022-04-03 09:20:00
2022-03,분당선,1872,매교,62792,62314,15715,16105,2022-04-03 09:20:00
2022-03,일산선,1948,원흥,209153,199992,48543,46929,2022-04-03 09:20:00
2022-03,일산선,1949,지축,8,0,1,0,2022-04-03 09:20:00
2022-03,일산선,1950,삼송,402100,388468,82238,83339,2022-04-03 09:20:00
2022-03,일산선,1951,원당,211709,199040,66299,65590,2022-04-03 09:20:00
2022-03,일산선,1952,화정,326710,336842,91742,93852,2022-04-03 09:20:00
2022-03,일산선,1953,대곡,40398,31930,9881,9132,2022-04-03 09:20:00
2022-03,일산선,1954,백석,183606,183708,58862,57693,2022-04-03 09:20:00
2022-03,일산선,1955,마두,127530,130217,51014,52441,2022-04-03 09:20:00
2022-03,일산선,1956,정발산,142599,147253,41424,38897,2022-04-03 09:20:00
2022-03,일산선,1957,주엽,149236,148049,67446,70065,2022-04-03 09:20:00
2022-03,일산선,1958,대화,245264,198314,62472,58121,2022-04-03 09:20:00
2022-03,중앙선,1015,회기,531031,515430,103105,101282,2022-04-03 09:20:00
2022-03,중앙선,1201,중랑,101020,95387,41484,40828,2022-04-03 09:20:00
2022-03,중앙선,1202,상봉(시외버스터미널),111321,112853,32585,31575,2022-04-03 09:20:00
2022-03,중앙선,1203,망우,135619,131289,60416,61869,2022-04-03 09:20:00
2022-03,중앙선,1204,양원,51017,48858,16708,16494,2022-04-03 09:20:00
2022-03,중앙선,1205,구리,262264,270262,67075,67622,2022-04-03 09:20:00
2022-03,중앙선,1206,도농,201004,183647,51312,50088,2022-04-03 09:20:00
2022-03,중앙선,1207,양정,12347,10117,6759,6051,2022-04-03 09:20:00
2022-03,중앙선,1208,덕소,101617,104562,36304,36260,2022-04-03 09:20:00
2022-03,중앙선,1209,도심,43923,33389,14551,13984,2022-04-03 09:20:00
2022-03,중앙선,1210,팔당,18363,19306,7576,7706,2022-04-03 09:20:00
2022-03,중앙선,1211,운길산,14172,12713,8867,9069,2022-04-03 09:20:00
2022-03,중앙선,1212,양수,31141,30960,18107,17980,2022-04-03 09:20:00
2022-03,중앙선,1213,신원,3100,2678,3213,2735,2022-04-03 09:20:00
2022-03,중앙선,1214,국수,11041,10839,7566,7737,2022-04-03 09:20:00
2022-03,중앙선,1215,아신,9119,9049,4960,4703,2022-04-03 09:20:00
2022-03,중앙선,1216,오빈,4336,4214,3499,3462,2022-04-03 09:20:00
2022-03,중앙선,1217,양평,48253,48555,25354,25875,2022-04-03 09:20:00
2022-03,중앙선,1218,원덕,4569,4404,5384,5160,2022-04-03 09:20:00
2022-03,중앙선,1219,용문,24932,24197,26929,26997,2022-04-03 09:20:00
2022-03,중앙선,1220,지평,739,1018,967,915,2022-04-03 09:20:00
2022-03,장항선,1401,봉명,22240,21514,8655,8315,2022-04-03 09:20:00
2022-03,장항선,1402,쌍용(나사렛대),56556,52590,10530,10061,2022-04-03 09:20:00
2022-03,장항선,1403,아산,92017,78354,9681,9180,2022-04-03 09:20:00
2022-03,장항선,1404,탕정,17022,15348,2789,2720,2022-04-03 09:20:00
2022-03,장항선,1405,배방,24927,24705,5798,5709,2022-04-03 09:20:00
2022-03,장항선,1407,온양온천,66835,69277,34764,35690,2022-04-03 09:20:00
